Postnummer,Poststed,Terminal_ID,Kommunenavn,Fylkenavn
0207,OSLO,1,OSLO,OSLO
0208,OSLO,1,OSLO,OSLO
0211,OSLO,1,OSLO,OSLO
0212,OSLO,1,OSLO,OSLO
0213,OSLO,1,OSLO,OSLO
0214,OSLO,1,OSLO,OSLO
0215,OSLO,1,OSLO,OSLO
0216,OSLO,1,OSLO,OSLO
0217,OSLO,1,OSLO,OSLO
0218,OSLO,1,OSLO,OSLO
0230,OSLO,1,OSLO,OSLO
0240,OSLO,1,OSLO,OSLO
0244,OSLO,1,OSLO,OSLO
0247,OSLO,1,OSLO,OSLO
0250,OSLO,1,OSLO,OSLO
0251,OSLO,1,OSLO,OSLO
0252,OSLO,1,OSLO,OSLO
0253,OSLO,1,OSLO,OSLO
0254,OSLO,1,OSLO,OSLO
0255,OSLO,1,OSLO,OSLO
0256,OSLO,1,OSLO,OSLO
0257,OSLO,1,OSLO,OSLO
0258,OSLO,1,OSLO,OSLO
0259,OSLO,1,OSLO,OSLO
0260,OSLO,1,OSLO,OSLO
0262,OSLO,1,OSLO,OSLO
0263,OSLO,1,OSLO,OSLO
0264,OSLO,1,OSLO,OSLO
0265,OSLO,1,OSLO,OSLO
0266,OSLO,1,OSLO,OSLO
0267,OSLO,1,OSLO,OSLO
0268,OSLO,1,OSLO,OSLO
0270,OSLO,1,OSLO,OSLO
0271,OSLO,1,OSLO,OSLO
0272,OSLO,1,OSLO,OSLO
0273,OSLO,1,OSLO,OSLO
0274,OSLO,1,OSLO,OSLO
0275,OSLO,1,OSLO,OSLO
0276,OSLO,1,OSLO,OSLO
0277,OSLO,1,OSLO,OSLO
0278,OSLO,1,OSLO,OSLO
0279,OSLO,1,OSLO,OSLO
0280,OSLO,1,OSLO,OSLO
0281,OSLO,1,OSLO,OSLO
0282,OSLO,1,OSLO,OSLO
0283,OSLO,1,OSLO,OSLO
0284,OSLO,1,OSLO,OSLO
0286,OSLO,1,OSLO,OSLO
0287,OSLO,1,OSLO,OSLO
0301,OSLO,1,OSLO,OSLO
0302,OSLO,1,OSLO,OSLO
0303,OSLO,1,OSLO,OSLO
0304,OSLO,1,OSLO,OSLO
0305,OSLO,1,OSLO,OSLO
0306,OSLO,1,OSLO,OSLO
0307,OSLO,1,OSLO,OSLO
0308,OSLO,1,OSLO,OSLO
0309,OSLO,1,OSLO,OSLO
0311,OSLO,1,OSLO,OSLO
0313,OSLO,1,OSLO,OSLO
0314,OSLO,1,OSLO,OSLO
0315,OSLO,1,OSLO,OSLO
0316,OSLO,1,OSLO,OSLO
0317,OSLO,1,OSLO,OSLO
0318,OSLO,1,OSLO,OSLO
0319,OSLO,1,OSLO,OSLO
0323,OSLO,1,OSLO,OSLO
0330,OSLO,1,OSLO,OSLO
0340,OSLO,1,OSLO,OSLO
0349,OSLO,1,OSLO,OSLO
0350,OSLO,1,OSLO,OSLO
0351,OSLO,1,OSLO,OSLO
0352,OSLO,1,OSLO,OSLO
0353,OSLO,1,OSLO,OSLO
0354,OSLO,1,OSLO,OSLO
0355,OSLO,1,OSLO,OSLO
0356,OSLO,1,OSLO,OSLO
0357,OSLO,1,OSLO,OSLO
0358,OSLO,1,OSLO,OSLO
0359,OSLO,1,OSLO,OSLO
0360,OSLO,1,OSLO,OSLO
0361,OSLO,1,OSLO,OSLO
0362,OSLO,1,OSLO,OSLO
0363,OSLO,1,OSLO,OSLO
0364,OSLO,1,OSLO,OSLO
0365,OSLO,1,OSLO,OSLO
0366,OSLO,1,OSLO,OSLO
0367,OSLO,1,OSLO,OSLO
0368,OSLO,1,OSLO,OSLO
0369,OSLO,1,OSLO,OSLO
0370,OSLO,1,OSLO,OSLO
0371,OSLO,1,OSLO,OSLO
0372,OSLO,1,OSLO,OSLO
0373,OSLO,1,OSLO,OSLO
0374,OSLO,1,OSLO,OSLO
0375,OSLO,1,OSLO,OSLO
0376,OSLO,1,OSLO,OSLO
0377,OSLO,1,OSLO,OSLO
0378,OSLO,1,OSLO,OSLO
0379,OSLO,1,OSLO,OSLO
0380,OSLO,1,OSLO,OSLO
0381,OSLO,1,OSLO,OSLO
0382,OSLO,1,OSLO,OSLO
0383,OSLO,1,OSLO,OSLO
0401,OSLO,1,OSLO,OSLO
0402,OSLO,1,OSLO,OSLO
0403,OSLO,1,OSLO,OSLO
0404,OSLO,1,OSLO,OSLO
0405,OSLO,1,OSLO,OSLO
0406,OSLO,1,OSLO,OSLO
0409,OSLO,1,OSLO,OSLO
0410,OSLO,1,OSLO,OSLO
0411,OSLO,1,OSLO,OSLO
0412,OSLO,1,OSLO,OSLO
0413,OSLO,1,OSLO,OSLO
0415,OSLO,1,OSLO,OSLO
0421,OSLO,1,OSLO,OSLO
0422,OSLO,1,OSLO,OSLO
0423,OSLO,1,OSLO,OSLO
0424,OSLO,1,OSLO,OSLO
0440,OSLO,1,OSLO,OSLO
0441,OSLO,1,OSLO,OSLO
0442,OSLO,1,OSLO,OSLO
0445,OSLO,1,OSLO,OSLO
0450,OSLO,1,OSLO,OSLO
0451,OSLO,1,OSLO,OSLO
0452,OSLO,1,OSLO,OSLO
0454,OSLO,1,OSLO,OSLO
0455,OSLO,1,OSLO,OSLO
0456,OSLO,1,OSLO,OSLO
0457,OSLO,1,OSLO,OSLO
0458,OSLO,1,OSLO,OSLO
0459,OSLO,1,OSLO,OSLO
0460,OSLO,1,OSLO,OSLO
0461,OSLO,1,OSLO,OSLO
0462,OSLO,1,OSLO,OSLO
0463,OSLO,1,OSLO,OSLO
0464,OSLO,1,OSLO,OSLO
0465,OSLO,1,OSLO,OSLO
0467,OSLO,1,OSLO,OSLO
0468,OSLO,1,OSLO,OSLO
0469,OSLO,1,OSLO,OSLO
0470,OSLO,1,OSLO,OSLO
0472,OSLO,1,OSLO,OSLO
0473,OSLO,1,OSLO,OSLO
0474,OSLO,1,OSLO,OSLO
0475,OSLO,1,OSLO,OSLO
0476,OSLO,1,OSLO,OSLO
0477,OSLO,1,OSLO,OSLO
0478,OSLO,1,OSLO,OSLO
0479,OSLO,1,OSLO,OSLO
0480,OSLO,1,OSLO,OSLO
0481,OSLO,1,OSLO,OSLO
0482,OSLO,1,OSLO,OSLO
0483,OSLO,1,OSLO,OSLO
0484,OSLO,1,OSLO,OSLO
0485,OSLO,1,OSLO,OSLO
0486,OSLO,1,OSLO,OSLO
0487,OSLO,1,OSLO,OSLO
0488,OSLO,1,OSLO,OSLO
0489,OSLO,1,OSLO,OSLO
0490,OSLO,1,OSLO,OSLO
0491,OSLO,1,OSLO,OSLO
0492,OSLO,1,OSLO,OSLO
0493,OSLO,1,OSLO,OSLO
0494,OSLO,1,OSLO,OSLO
0495,OSLO,1,OSLO,OSLO
0496,OSLO,1,OSLO,OSLO
0501,OSLO,1,OSLO,OSLO
0502,OSLO,1,OSLO,OSLO
0503,OSLO,1,OSLO,OSLO
0504,OSLO,1,OSLO,OSLO
0505,OSLO,1,OSLO,OSLO
0506,OSLO,1,OSLO,OSLO
0507,OSLO,1,OSLO,OSLO
0508,OSLO,1,OSLO,OSLO
0509,OSLO,1,OSLO,OSLO
0510,OSLO,1,OSLO,OSLO
0511,OSLO,1,OSLO,OSLO
0512,OSLO,1,OSLO,OSLO
0513,OSLO,1,OSLO,OSLO
0515,OSLO,1,OSLO,OSLO
0516,OSLO,1,OSLO,OSLO
0517,OSLO,1,OSLO,OSLO
0518,OSLO,1,OSLO,OSLO
0520,OSLO,1,OSLO,OSLO
0540,OSLO,1,OSLO,OSLO
0550,OSLO,1,OSLO,OSLO
0551,OSLO,1,OSLO,OSLO
0552,OSLO,1,OSLO,OSLO
0553,OSLO,1,OSLO,OSLO
0554,OSLO,1,OSLO,OSLO
0555,OSLO,1,OSLO,OSLO
0556,OSLO,1,OSLO,OSLO
0557,OSLO,1,OSLO,OSLO
0558,OSLO,1,OSLO,OSLO
0559,OSLO,1,OSLO,OSLO
0560,OSLO,1,OSLO,OSLO
0561,OSLO,1,OSLO,OSLO
0562,OSLO,1,OSLO,OSLO
0563,OSLO,1,OSLO,OSLO
0564,OSLO,1,OSLO,OSLO
0565,OSLO,1,OSLO,OSLO
0566,OSLO,1,OSLO,OSLO
0567,OSLO,1,OSLO,OSLO
0568,OSLO,1,OSLO,OSLO
0569,OSLO,1,OSLO,OSLO
0570,OSLO,1,OSLO,OSLO
0571,OSLO,1,OSLO,OSLO
0572,OSLO,1,OSLO,OSLO
0573,OSLO,1,OSLO,OSLO
0574,OSLO,1,OSLO,OSLO
0575,OSLO,1,OSLO,OSLO
0576,OSLO,1,OSLO,OSLO
0577,OSLO,1,OSLO,OSLO
0578,OSLO,1,OSLO,OSLO
0579,OSLO,1,OSLO,OSLO
0580,OSLO,1,OSLO,OSLO
0581,OSLO,1,OSLO,OSLO
0582,OSLO,1,OSLO,OSLO
0583,OSLO,1,OSLO,OSLO
0584,OSLO,1,OSLO,OSLO
0585,OSLO,1,OSLO,OSLO
0586,OSLO,1,OSLO,OSLO
0587,OSLO,1,OSLO,OSLO
0588,OSLO,1,OSLO,OSLO
0589,OSLO,1,OSLO,OSLO
0590,OSLO,1,OSLO,OSLO
0591,OSLO,1,OSLO,OSLO
0592,OSLO,1,OSLO,OSLO
0593,OSLO,1,OSLO,OSLO
0594,OSLO,1,OSLO,OSLO
0595,OSLO,1,OSLO,OSLO
0596,OSLO,1,OSLO,OSLO
0597,OSLO,1,OSLO,OSLO
0598,OSLO,1,OSLO,OSLO
0601,OSLO,1,OSLO,OSLO
0602,OSLO,1,OSLO,OSLO
0603,OSLO,1,OSLO,OSLO
0604,OSLO,1,OSLO,OSLO
0605,OSLO,1,OSLO,OSLO
0606,OSLO,1,OSLO,OSLO
0607,OSLO,1,OSLO,OSLO
0608,OSLO,1,OSLO,OSLO
0609,OSLO,1,OSLO,OSLO
0611,OSLO,1,OSLO,OSLO
0612,OSLO,1,OSLO,OSLO
0613,OSLO,1,OSLO,OSLO
0614,OSLO,1,OSLO,OSLO
0615,OSLO,1,OSLO,OSLO
0616,OSLO,1,OSLO,OSLO
0617,OSLO,1,OSLO,OSLO
0618,OSLO,1,OSLO,OSLO
0619,OSLO,1,OSLO,OSLO
0620,OSLO,1,OSLO,OSLO
0621,OSLO,1,OSLO,OSLO
0622,OSLO,1,OSLO,OSLO
0623,OSLO,1,OSLO,OSLO
0624,OSLO,1,OSLO,OSLO
0626,OSLO,1,OSLO,OSLO
0650,OSLO,1,OSLO,OSLO
0651,OSLO,1,OSLO,OSLO
0652,OSLO,1,OSLO,OSLO
0653,OSLO,1,OSLO,OSLO
0654,OSLO,1,OSLO,OSLO
0655,OSLO,1,OSLO,OSLO
0656,OSLO,1,OSLO,OSLO
0657,OSLO,1,OSLO,OSLO
0658,OSLO,1,OSLO,OSLO
0659,OSLO,1,OSLO,OSLO
0660,OSLO,1,OSLO,OSLO
0661,OSLO,1,OSLO,OSLO
0662,OSLO,1,OSLO,OSLO
0663,OSLO,1,OSLO,OSLO
0664,OSLO,1,OSLO,OSLO
0665,OSLO,1,OSLO,OSLO
0666,OSLO,1,OSLO,OSLO
0667,OSLO,1,OSLO,OSLO
0668,OSLO,1,OSLO,OSLO
0669,OSLO,1,OSLO,OSLO
0670,OSLO,1,OSLO,OSLO
0671,OSLO,1,OSLO,OSLO
0672,OSLO,1,OSLO,OSLO
0673,OSLO,1,OSLO,OSLO
0674,OSLO,1,OSLO,OSLO
0675,OSLO,1,OSLO,OSLO
0676,OSLO,1,OSLO,OSLO
0677,OSLO,1,OSLO,OSLO
0678,OSLO,1,OSLO,OSLO
0679,OSLO,1,OSLO,OSLO
0680,OSLO,1,OSLO,OSLO
0681,OSLO,1,OSLO,OSLO
0682,OSLO,1,OSLO,OSLO
0683,OSLO,1,OSLO,OSLO
0684,OSLO,1,OSLO,OSLO
0685,OSLO,1,OSLO,OSLO
0686,OSLO,1,OSLO,OSLO
0687,OSLO,1,OSLO,OSLO
0688,OSLO,1,OSLO,OSLO
0689,OSLO,1,OSLO,OSLO
0690,OSLO,1,OSLO,OSLO
0691,OSLO,1,OSLO,OSLO
0692,OSLO,1,OSLO,OSLO
0693,OSLO,1,OSLO,OSLO
0694,OSLO,1,OSLO,OSLO
0701,OSLO,1,OSLO,OSLO
0702,OSLO,1,OSLO,OSLO
0705,OSLO,1,OSLO,OSLO
0710,OSLO,1,OSLO,OSLO
0712,OSLO,1,OSLO,OSLO
0750,OSLO,1,OSLO,OSLO
0751,OSLO,1,OSLO,OSLO
0752,OSLO,1,OSLO,OSLO
0753,OSLO,1,OSLO,OSLO
0754,OSLO,1,OSLO,OSLO
0755,OSLO,1,OSLO,OSLO
0756,OSLO,1,OSLO,OSLO
0757,OSLO,1,OSLO,OSLO
0758,OSLO,1,OSLO,OSLO
0760,OSLO,1,OSLO,OSLO
0763,OSLO,1,OSLO,OSLO
0764,OSLO,1,OSLO,OSLO
0765,OSLO,1,OSLO,OSLO
0766,OSLO,1,OSLO,OSLO
0767,OSLO,1,OSLO,OSLO
0768,OSLO,1,OSLO,OSLO
0770,OSLO,1,OSLO,OSLO
0771,OSLO,1,OSLO,OSLO
0772,OSLO,1,OSLO,OSLO
0773,OSLO,1,OSLO,OSLO
0774,OSLO,1,OSLO,OSLO
0775,OSLO,1,OSLO,OSLO
0776,OSLO,1,OSLO,OSLO
0777,OSLO,1,OSLO,OSLO
0778,OSLO,1,OSLO,OSLO
0779,OSLO,1,OSLO,OSLO
0781,OSLO,1,OSLO,OSLO
0782,OSLO,1,OSLO,OSLO
0783,OSLO,1,OSLO,OSLO
0784,OSLO,1,OSLO,OSLO
0785,OSLO,1,OSLO,OSLO
0786,OSLO,1,OSLO,OSLO
0787,OSLO,1,OSLO,OSLO
0788,OSLO,1,OSLO,OSLO
0789,OSLO,1,OSLO,OSLO
0790,OSLO,1,OSLO,OSLO
0791,OSLO,1,OSLO,OSLO
0801,OSLO,1,OSLO,OSLO
0805,OSLO,1,OSLO,OSLO
0806,OSLO,1,OSLO,OSLO
0807,OSLO,1,OSLO,OSLO
0840,OSLO,1,OSLO,OSLO
0850,OSLO,1,OSLO,OSLO
0851,OSLO,1,OSLO,OSLO
0852,OSLO,1,OSLO,OSLO
0853,OSLO,1,OSLO,OSLO
0854,OSLO,1,OSLO,OSLO
0855,OSLO,1,OSLO,OSLO
0856,OSLO,1,OSLO,OSLO
0857,OSLO,1,OSLO,OSLO
0858,OSLO,1,OSLO,OSLO
0860,OSLO,1,OSLO,OSLO
0861,OSLO,1,OSLO,OSLO
0862,OSLO,1,OSLO,OSLO
0863,OSLO,1,OSLO,OSLO
0864,OSLO,1,OSLO,OSLO
0870,OSLO,1,OSLO,OSLO
0871,OSLO,1,OSLO,OSLO
0872,OSLO,1,OSLO,OSLO
0873,OSLO,1,OSLO,OSLO
0874,OSLO,1,OSLO,OSLO
0875,OSLO,1,OSLO,OSLO
0876,OSLO,1,OSLO,OSLO
0877,OSLO,1,OSLO,OSLO
0880,OSLO,1,OSLO,OSLO
0881,OSLO,1,OSLO,OSLO
0882,OSLO,1,OSLO,OSLO
0883,OSLO,1,OSLO,OSLO
0884,OSLO,1,OSLO,OSLO
0890,OSLO,1,OSLO,OSLO
0891,OSLO,1,OSLO,OSLO
0901,OSLO,1,OSLO,OSLO
0902,OSLO,1,OSLO,OSLO
0903,OSLO,1,OSLO,OSLO
0904,OSLO,1,OSLO,OSLO
0905,OSLO,1,OSLO,OSLO
0907,OSLO,1,OSLO,OSLO
0908,OSLO,1,OSLO,OSLO
0913,OSLO,1,OSLO,OSLO
0914,OSLO,1,OSLO,OSLO
0915,OSLO,1,OSLO,OSLO
0950,OSLO,1,OSLO,OSLO
0951,OSLO,1,OSLO,OSLO
0952,OSLO,1,OSLO,OSLO
0953,OSLO,1,OSLO,OSLO
0954,OSLO,1,OSLO,OSLO
0955,OSLO,1,OSLO,OSLO
0956,OSLO,1,OSLO,OSLO
0957,OSLO,1,OSLO,OSLO
0958,OSLO,1,OSLO,OSLO
0959,OSLO,1,OSLO,OSLO
0960,OSLO,1,OSLO,OSLO
0962,OSLO,1,OSLO,OSLO
0963,OSLO,1,OSLO,OSLO
0964,OSLO,1,OSLO,OSLO
0968,OSLO,1,OSLO,OSLO
0969,OSLO,1,OSLO,OSLO
0970,OSLO,1,OSLO,OSLO
0971,OSLO,1,OSLO,OSLO
0972,OSLO,1,OSLO,OSLO
0973,OSLO,1,OSLO,OSLO
0975,OSLO,1,OSLO,OSLO
0976,OSLO,1,OSLO,OSLO
0977,OSLO,1,OSLO,OSLO
0978,OSLO,1,OSLO,OSLO
0979,OSLO,1,OSLO,OSLO
0980,OSLO,1,OSLO,OSLO
0981,OSLO,1,OSLO,OSLO
0982,OSLO,1,OSLO,OSLO
0983,OSLO,1,OSLO,OSLO
0984,OSLO,1,OSLO,OSLO
0985,OSLO,1,OSLO,OSLO
0986,OSLO,1,OSLO,OSLO
0987,OSLO,1,OSLO,OSLO
0988,OSLO,1,OSLO,OSLO
1001,OSLO,1,OSLO,OSLO
1003,OSLO,1,OSLO,OSLO
1005,OSLO,1,OSLO,OSLO
1006,OSLO,1,OSLO,OSLO
1007,OSLO,1,OSLO,OSLO
1008,OSLO,1,OSLO,OSLO
1009,OSLO,1,OSLO,OSLO
1011,OSLO,1,OSLO,OSLO
1051,OSLO,1,OSLO,OSLO
1052,OSLO,1,OSLO,OSLO
1053,OSLO,1,OSLO,OSLO
1054,OSLO,1,OSLO,OSLO
1055,OSLO,1,OSLO,OSLO
1056,OSLO,1,OSLO,OSLO
1061,OSLO,1,OSLO,OSLO
1062,OSLO,1,OSLO,OSLO
1063,OSLO,1,OSLO,OSLO
1064,OSLO,1,OSLO,OSLO
1065,OSLO,1,OSLO,OSLO
1067,OSLO,1,OSLO,OSLO
1068,OSLO,1,OSLO,OSLO
1069,OSLO,1,OSLO,OSLO
1071,OSLO,1,OSLO,OSLO
1081,OSLO,1,OSLO,OSLO
1083,OSLO,1,OSLO,OSLO
1084,OSLO,1,OSLO,OSLO
1086,OSLO,1,OSLO,OSLO
1087,OSLO,1,OSLO,OSLO
1088,OSLO,1,OSLO,OSLO
1089,OSLO,1,OSLO,OSLO
1101,OSLO,1,OSLO,OSLO
1102,OSLO,1,OSLO,OSLO
1108,OSLO,1,OSLO,OSLO
1109,OSLO,1,OSLO,OSLO
1112,OSLO,1,OSLO,OSLO
1150,OSLO,1,OSLO,OSLO
1151,OSLO,1,OSLO,OSLO
1152,OSLO,1,OSLO,OSLO
1153,OSLO,1,OSLO,OSLO
1154,OSLO,1,OSLO,OSLO
1155,OSLO,1,OSLO,OSLO
1156,OSLO,1,OSLO,OSLO
1157,OSLO,1,OSLO,OSLO
1158,OSLO,1,OSLO,OSLO
1160,OSLO,1,OSLO,OSLO
1161,OSLO,1,OSLO,OSLO
1162,OSLO,1,OSLO,OSLO
1163,OSLO,1,OSLO,OSLO
1164,OSLO,1,OSLO,OSLO
1165,OSLO,1,OSLO,OSLO
1166,OSLO,1,OSLO,OSLO
1167,OSLO,1,OSLO,OSLO
1168,OSLO,1,OSLO,OSLO
1169,OSLO,1,OSLO,OSLO
1170,OSLO,1,OSLO,OSLO
1172,OSLO,1,OSLO,OSLO
1176,OSLO,1,OSLO,OSLO
1177,OSLO,1,OSLO,OSLO
1178,OSLO,1,OSLO,OSLO
1179,OSLO,1,OSLO,OSLO
1181,OSLO,1,OSLO,OSLO
1182,OSLO,1,OSLO,OSLO
1184,OSLO,1,OSLO,OSLO
1185,OSLO,1,OSLO,OSLO
1187,OSLO,1,OSLO,OSLO
1188,OSLO,1,OSLO,OSLO
1189,OSLO,1,OSLO,OSLO
1201,OSLO,1,OSLO,OSLO
1203,OSLO,1,OSLO,OSLO
1204,OSLO,1,OSLO,OSLO
1205,OSLO,1,OSLO,OSLO
1207,OSLO,1,OSLO,OSLO
1214,OSLO,1,OSLO,OSLO
1215,OSLO,1,OSLO,OSLO
1250,OSLO,1,OSLO,OSLO
1251,OSLO,1,OSLO,OSLO
1252,OSLO,1,OSLO,OSLO
1253,OSLO,1,OSLO,OSLO
1254,OSLO,1,OSLO,OSLO
1255,OSLO,1,OSLO,OSLO
1256,OSLO,1,OSLO,OSLO
1257,OSLO,1,OSLO,OSLO
1258,OSLO,1,OSLO,OSLO
1259,OSLO,1,OSLO,OSLO
1262,OSLO,1,OSLO,OSLO
1263,OSLO,1,OSLO,OSLO
1266,OSLO,1,OSLO,OSLO
1270,OSLO,1,OSLO,OSLO
1271,OSLO,1,OSLO,OSLO
1272,OSLO,1,OSLO,OSLO
1273,OSLO,1,OSLO,OSLO
1274,OSLO,1,OSLO,OSLO
1275,OSLO,1,OSLO,OSLO
1278,OSLO,1,OSLO,OSLO
1279,OSLO,1,OSLO,OSLO
1281,OSLO,1,OSLO,OSLO
1283,OSLO,1,OSLO,OSLO
1284,OSLO,1,OSLO,OSLO
1285,OSLO,1,OSLO,OSLO
1286,OSLO,1,OSLO,OSLO
1290,OSLO,1,OSLO,OSLO
1291,OSLO,1,OSLO,OSLO
1294,OSLO,1,OSLO,OSLO
1295,OSLO,1,OSLO,OSLO
1300,SANDVIKA,2,BÆRUM,AKERSHUS
1301,SANDVIKA,2,BÆRUM,AKERSHUS
1302,SANDVIKA,2,BÆRUM,AKERSHUS
1303,SANDVIKA,2,BÆRUM,AKERSHUS
1304,SANDVIKA,2,BÆRUM,AKERSHUS
1305,HASLUM,2,BÆRUM,AKERSHUS
1306,SANDVIKA,2,BÆRUM,AKERSHUS
1307,FORNEBU,2,BÆRUM,AKERSHUS
1308,JAR,2,BÆRUM,AKERSHUS
1309,RUD,2,BÆRUM,AKERSHUS
1311,HØVIKODDEN,2,BÆRUM,AKERSHUS
1312,SLEPENDEN,2,BÆRUM,AKERSHUS
1313,VØYENENGA,2,BÆRUM,AKERSHUS
1314,VØYENENGA,2,BÆRUM,AKERSHUS
1316,EIKSMARKA,2,BÆRUM,AKERSHUS
1317,BÆRUMS VERK,2,BÆRUM,AKERSHUS
1318,BEKKESTUA,2,BÆRUM,AKERSHUS
1319,BEKKESTUA,2,BÆRUM,AKERSHUS
1321,STABEKK,2,BÆRUM,AKERSHUS
1322,HØVIK,2,BÆRUM,AKERSHUS
1323,HØVIK,2,BÆRUM,AKERSHUS
1324,LYSAKER,2,BÆRUM,AKERSHUS
1325,LYSAKER,2,BÆRUM,AKERSHUS
1326,LYSAKER,2,BÆRUM,AKERSHUS
1327,LYSAKER,2,BÆRUM,AKERSHUS
1328,HØVIK,2,BÆRUM,AKERSHUS
1329,LOMMEDALEN,2,BÆRUM,AKERSHUS
1330,FORNEBU,2,BÆRUM,AKERSHUS
1331,FORNEBU,2,BÆRUM,AKERSHUS
1332,ØSTERÅS,2,BÆRUM,AKERSHUS
1333,KOLSÅS,2,BÆRUM,AKERSHUS
1334,RYKKINN,2,BÆRUM,AKERSHUS
1335,SNARØYA,2,BÆRUM,AKERSHUS
1336,SANDVIKA,2,BÆRUM,AKERSHUS
1337,SANDVIKA,2,BÆRUM,AKERSHUS
1338,SANDVIKA,2,BÆRUM,AKERSHUS
1339,VØYENENGA,2,BÆRUM,AKERSHUS
1340,SKUI,2,BÆRUM,AKERSHUS
1341,SLEPENDEN,2,BÆRUM,AKERSHUS
1342,GJETTUM,2,BÆRUM,AKERSHUS
1344,HASLUM,2,BÆRUM,AKERSHUS
1346,GJETTUM,2,BÆRUM,AKERSHUS
1348,RYKKINN,2,BÆRUM,AKERSHUS
